iter	Logloss
0	0.6827731734
1	0.6714886761
2	0.6621933037
3	0.651777394
4	0.6424611195
5	0.6337317531
6	0.6252745946
7	0.6181465467
8	0.6098709266
9	0.6025158915
10	0.5961573819
11	0.5901429019
12	0.582966794
13	0.5764584549
14	0.5704939112
15	0.5647676283
16	0.5595350572
17	0.5537339776
18	0.5489684717
19	0.5440441259
20	0.5397037141
21	0.5354205373
22	0.5315652447
23	0.5276195235
24	0.5235385096
25	0.5201255279
26	0.5164811106
27	0.5138326532
28	0.510555674
29	0.5076000371
30	0.5049087727
31	0.501958405
32	0.4993458922
33	0.4972420763
34	0.4945427708
35	0.4924372848
36	0.4908274338
37	0.488164966
38	0.4865258426
39	0.4843764502
40	0.4825566453
41	0.4801468899
42	0.4786740643
43	0.4762505304
44	0.4740809642
45	0.4723181487
46	0.4707022089
47	0.4688903391
48	0.4674967895
49	0.4654049408
50	0.4641005026
51	0.4625779813
52	0.4608296875
53	0.4589211245
54	0.4573117563
55	0.4558114561
56	0.4539764789
57	0.4522087463
58	0.4507155105
59	0.4495883372
60	0.4482958038
61	0.4466639495
62	0.4447090153
63	0.4432707788
64	0.4418485811
65	0.440379017
66	0.4391883525
67	0.4380213546
68	0.4367873364
69	0.4362385198
70	0.4355262275
71	0.4347823931
72	0.4335155701
73	0.4324504614
74	0.4314422223
75	0.4303282639
76	0.4295883026
77	0.4288044107
78	0.4279097183
79	0.4271717549
80	0.4263768927
81	0.4255662375
82	0.424945073
83	0.4245632966
84	0.4237785092
85	0.4225727812
86	0.4218495113
87	0.4210559639
88	0.4200459769
89	0.419309702
90	0.4187654992
91	0.4179365535
92	0.4172157684
93	0.4166248866
94	0.4160684956
95	0.4154039786
96	0.4147756957
97	0.4144260656
98	0.4138119391
99	0.4133062053
100	0.4128994325
101	0.4124092753
102	0.4119184343
103	0.4115460324
104	0.4111980069
105	0.410747226
106	0.4099763624
107	0.4094406666
108	0.4090219068
109	0.4082708036
110	0.4076776531
111	0.4073208685
112	0.4068315316
113	0.4064810339
114	0.4059442254
115	0.4054328391
116	0.4052270961
117	0.4046544933
118	0.4043182773
119	0.4040798241
120	0.4035490167
121	0.4032523462
122	0.4027184092
123	0.4023185342
124	0.4017910956
125	0.4015145986
126	0.4012823857
127	0.4009369651
128	0.4008860643
129	0.4007136276
130	0.4003490243
131	0.4002298172
132	0.3999302846
133	0.3996887606
134	0.3991845979
135	0.3988134899
136	0.3984829054
137	0.3976026546
138	0.3975525266
139	0.3971413876
140	0.3967709113
141	0.3965382373
142	0.3962371739
143	0.3960642935
144	0.3957733533
145	0.3954214946
146	0.3950023904
147	0.3946882988
148	0.3944766208
149	0.3937425042
150	0.3935605047
151	0.3932476524
152	0.3932257783
153	0.3927089278
154	0.3925189655
155	0.3922071998
156	0.3919142181
157	0.3916889581
158	0.39158312
159	0.3913603594
160	0.3910879189
161	0.3905283552
162	0.3902525341
163	0.3899372829
164	0.389810993
165	0.3896679007
166	0.3896576201
167	0.3896350877
168	0.3892970248
169	0.3890340557
170	0.3888690179
171	0.3885297968
172	0.3885185428
173	0.388303226
174	0.388301835
175	0.3880854543
176	0.3878826648
177	0.3874146104
178	0.3870710803
179	0.3867493036
180	0.3864256557
181	0.3862708278
182	0.3862697267
183	0.3860153699
184	0.3856961765
185	0.3854607944
186	0.3851339501
187	0.3849955173
188	0.3847648056
189	0.3844031092
190	0.3841909493
191	0.3840454408
192	0.3836549609
193	0.3834597639
194	0.3834526384
195	0.3833299344
196	0.3831807783
197	0.3830027512
198	0.3827868295
199	0.3825075409
200	0.3823376152
201	0.3821716996
202	0.3819239542
203	0.3817675523
204	0.3816502533
205	0.3814843516
206	0.3812304794
207	0.3809341291
208	0.3807713073
209	0.380673622
210	0.3805171981
211	0.3803411116
212	0.3801855259
213	0.3801672764
214	0.3800348014
215	0.3798234272
216	0.3793957519
217	0.3792743165
218	0.3789848347
219	0.3785209327
220	0.3782195676
221	0.3781547549
222	0.3781428788
223	0.3781426568
224	0.3781375868
225	0.3778093119
226	0.3776099578
227	0.3773553218
228	0.3772021133
229	0.3769731971
230	0.3765803711
231	0.3765391549
232	0.3762713885
233	0.3759808381
234	0.3757720868
235	0.3756356521
